,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
382,50141402231452,14,CÓRDOBA,140,SAN JUSTO,estatal,False
383,50140912231501,14,CÓRDOBA,91,PUNILLA,estatal,False
384,50140982231526,14,CÓRDOBA,98,RÍO CUARTO,estatal,False
385,50020012315927,2,CABA,13,COMUNA 13,privado,False
386,50420212353510,42,LA PAMPA,21,CAPITAL,privado,False
387,50067602303460,6,BUENOS AIRES,760,SAN MIGUEL,privado,False
388,50068612303484,6,BUENOS AIRES,861,VICENTE LÓPEZ,privado,False
389,52064902303649,6,BUENOS AIRES,490,LOMAS DE ZAMORA,privado,False
390,10620772170026,62,RÍO NEGRO,77,SAN ANTONIO,estatal,False
391,52064122303835,6,BUENOS AIRES,412,JOSÉ C. PAZ,privado,False
